ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60628,23,5/31/2020,6/6/2020,17.0,928.0,26.0,1390.8,409,5188,613,7775.3,0.0,0.2,4,94,6.0,140.9,66724,60628-23,POINT (-87.621537 41.694192)
60707,18,4/26/2020,5/2/2020,17.0,61.0,40.0,141.8,135,547,314,1271.5,0.1,0.1,0,2,0.0,4.6,43019,60707-18,POINT (-87.808283 41.921777)
60623,24,6/7/2020,6/13/2020,43.0,2788.0,50.0,3242.7,660,8639,768,10047.8,0.1,0.3,7,131,8.1,152.4,85979,60623-24,POINT (-87.717446 41.850321)
60637,22,5/24/2020,5/30/2020,32.0,550.0,67.0,1159.0,443,3659,934,7710.6,0.1,0.2,3,20,6.3,42.1,47454,60637-22,POINT (-87.604053 41.780991)
60619,19,5/3/2020,5/9/2020,60.0,640.0,98.0,1044.8,587,2817,958,4598.6,0.1,0.2,5,45,8.2,73.5,61258,60619-19,POINT (-87.60569 41.744737)
60640,13,3/22/2020,3/28/2020,33.0,53.0,47.0,76.0,116,229,166,328.5,0.3,0.2,1,1,1.4,1.4,69715,60640-13,POINT (-87.662232 41.971888)
60653,13,3/22/2020,3/28/2020,44.0,66.0,138.0,206.4,120,208,375,650.6,0.4,0.3,0,0,0.0,0.0,31972,60653-13,POINT (-87.611244 41.819261)
60646,19,5/3/2020,5/9/2020,38.0,255.0,136.0,911.1,194,1263,693,4512.8,0.2,0.2,15,24,53.6,85.8,27987,60646-19,POINT (-87.761826 41.993931)
60632,12,3/15/2020,3/21/2020,4.0,7.0,4.0,7.7,59,66,65,72.5,0.1,0.1,0,0,0.0,0.0,91039,60632-12,POINT (-87.711251 41.810038)
60630,12,3/15/2020,3/21/2020,13.0,13.0,23.0,22.7,42,48,73,83.7,0.3,0.3,1,1,1.7,1.7,57344,60630-12,POINT (-87.759611 41.971261)
60620,25,6/14/2020,6/20/2020,21.0,997.0,31.0,1464.1,518,6957,761,10216.5,0.0,0.1,1,68,1.5,99.9,68096,60620-25,POINT (-87.651656 41.740873)
60614,22,5/24/2020,5/30/2020,11.0,454.0,15.0,636.7,343,3270,481,4585.7,0.0,0.1,4,60,5.6,84.1,71308,60614-22,POINT (-87.652064 41.922605)
60654,14,3/29/2020,4/4/2020,9.0,40.0,47.0,209.0,37,146,193,763.0,0.2,0.3,0,0,0.0,0.0,19135,60654-14,POINT (-87.63635400000001 41.892485)
60611,15,4/5/2020,4/11/2020,7.0,57.0,22.0,175.8,60,347,185,1070.1,0.1,0.2,0,0,0.0,0.0,32426,60611-15,POINT (-87.620291 41.894734)
60827,13,3/22/2020,3/28/2020,8.0,11.0,28.0,38.5,15,23,52,80.5,0.5,0.5,0,0,0.0,0.0,28577,60827-13,POINT (-87.633087 41.650765)
60621,24,6/7/2020,6/13/2020,10.0,501.0,34.0,1725.1,224,2718,771,9358.9,0.0,0.2,1,50,3.4,172.2,29042,60621-24,POINT (-87.638812 41.776931)
60634,22,5/24/2020,5/30/2020,71.0,1097.0,93.0,1443.5,801,6342,1054,8345.3,0.1,0.2,3,36,3.9,47.4,75995,60634-22,POINT (-87.797373 41.944967000000005)
60605,16,4/12/2020,4/18/2020,25.0,86.0,91.0,312.5,105,437,382,1588.0,0.2,0.2,0,0,0.0,0.0,27519,60605-16,POINT (-87.623449 41.867824)
60609,25,6/14/2020,6/20/2020,22.0,1539.0,36.0,2502.6,419,6080,681,9887.0,0.1,0.3,4,66,6.5,107.3,61495,60609-25,POINT (-87.653382 41.812017)
60651,22,5/24/2020,5/30/2020,122.0,1433.0,193.0,2266.8,646,5166,1022,8171.7,0.2,0.3,5,63,7.9,99.7,63218,60651-22,POINT (-87.741017 41.901964)
60639,22,5/24/2020,5/30/2020,181.0,2588.0,200.0,2859.1,1071,8490,1183,9379.5,0.2,0.3,3,82,3.3,90.6,90517,60639-22,POINT (-87.75531 41.920609)
60611,21,5/17/2020,5/23/2020,7.0,106.0,22.0,326.9,248,1528,765,4712.3,0.0,0.1,0,2,0.0,6.2,32426,60611-21,POINT (-87.620291 41.894734)
60661,14,3/29/2020,4/4/2020,2.0,13.0,20.0,131.0,13,64,131,644.8,0.2,0.2,0,0,0.0,0.0,9926,60661-14,POINT (-87.644283 41.882786)
60625,16,4/12/2020,4/18/2020,89.0,292.0,112.0,368.5,316,988,399,1246.8,0.3,0.3,8,13,10.1,16.4,79243,60625-16,POINT (-87.701816 41.971155)
60610,22,5/24/2020,5/30/2020,15.0,228.0,38.0,584.3,280,1990,718,5100.1,0.1,0.1,0,5,0.0,12.8,39019,60610-22,POINT (-87.63581 41.90455)
60655,25,6/14/2020,6/20/2020,0.0,193.0,0.0,670.0,273,2846,948,9880.6,0.0,0.1,0,9,0.0,31.2,28804,60655-25,POINT (-87.701434 41.696456)
60644,19,5/3/2020,5/9/2020,103.0,804.0,216.0,1685.1,668,2773,1400,5812.0,0.2,0.3,5,48,10.5,100.6,47712,60644-19,POINT (-87.756863 41.881113)
